Sample	Confident Inferred Pop: 1SD	Confident Inferred Pop: 2SD	Confident Inferred Pop: 3SD	Less Restricted Inferred Pop	Distance to cluster Africa	Distance to cluster East_Asia	Distance to cluster Europe	Distance to cluster South_Asia
GTEX-X4XX-0004-SM-5URCR	-	Europe	Europe	Europe	0.07762	0.07986	0.00162	0.04006
GTEX-X4XY-0002-SM-5URBG	-	-	-	Europe	0.08278	0.08750	0.00914	0.04777
GTEX-X585-0003-SM-5URCW	-	-	-	Africa	0.01535	0.09830	0.08835	0.08273
GTEX-X62O-0001-SM-5URD5	-	-	Europe	Europe	0.08207	0.08572	0.00739	0.04600
GTEX-X8HC-0003-SM-5URDI	-	-	Europe	Europe	0.08251	0.08652	0.00819	0.04680
GTEX-XBEC-0002-SM-5SOEV	-	-	-	Europe	0.08274	0.08721	0.00886	0.04748
GTEX-XBED-0004-SM-5URD9	-	-	Europe	Europe	0.08278	0.08712	0.00878	0.04740
GTEX-XGQ4-0001-SM-5SOEG	-	-	Europe	Europe	0.08242	0.08690	0.00853	0.04716
GTEX-XMK1-0003-SM-5URB9	-	-	Europe	Europe	0.08211	0.08716	0.00875	0.04739
GTEX-XOT4-0001-SM-5URCM	-	Europe	Europe	Europe	0.07647	0.07990	0.00250	0.04005
GTEX-XOTO-0002-SM-5URC7	-	-	-	Europe	0.08274	0.08721	0.00886	0.04748
GTEX-XPT6-0004-SM-5URDL	-	-	-	Europe	0.08158	0.08750	0.00910	0.04770
GTEX-XQ3S-0002-SM-5JK42	-	-	Europe	Europe	0.08216	0.08592	0.00759	0.04619
GTEX-XUJ4-0001-SM-5JK4T	-	Europe	Europe	Europe	0.07631	0.07950	0.00227	0.03965
GTEX-XUW1-0002-SM-5JK4P	-	-	Europe	Europe	0.08247	0.08642	0.00810	0.04670
GTEX-XV7Q-0004-SM-5JK3G	-	-	-	Europe	0.08296	0.08733	0.00900	0.04761
GTEX-XXEK-0001-SM-5JK35	-	-	Europe	Europe	0.08242	0.08670	0.00835	0.04697
GTEX-XYKS-0003-SM-5JK4D	-	-	-	Africa	0.00997	0.09306	0.08325	0.07700
